link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18]
3638,666,3,1,1,3597,,,,,,,,,,,,,,,,,,
3639,666,3,1,1,3600,,,,,,,,,,,,,,,,,,
3640,666,3,1,1,3608,,,,,,,,,,,,,,,,,,
3641,666,3,1,1,3618,,,,,,,,,,,,,,,,,,
3642,666,3,1,1,3605,,,,,,,,,,,,,,,,,,
3643,666,3,1,1,3598,3599,3601,3602,3606,3609,3619,3622,3623,3624,3626,3627,3628,3630,3631,3632,3634,3635,3636
3649,681,670,2,344,8462,8466,8751,8755,,,,,,,,,,,,,,,
3650,681,670,2,2752,8173,8177,,,,,,,,,,,,,,,,,
3656,722,711,2,2752,8173,,,,,,,,,,,,,,,,,,
3657,722,711,2,344,8462,8751,,,,,,,,,,,,,,,,,
3661,774,770,2,4096,3603,,,,,,,,,,,,,,,,,,
3662,771,770,2,1024,3617,,,,,,,,,,,,,,,,,,
3668,801,790,2,2752,8174,,,,,,,,,,,,,,,,,,
3669,801,790,2,344,8463,8752,,,,,,,,,,,,,,,,,
3680,891,890,2,352256,7888,7890,7891,,,,,,,,,,,,,,,,
3684,904,903,2,4096,3603,,,,,,,,,,,,,,,,,,
3688,914,913,2,352256,3614,,,,,,,,,,,,,,,,,,
3692,927,926,2,352256,3614,,,,,,,,,,,,,,,,,,
3696,937,936,2,352256,3615,,,,,,,,,,,,,,,,,,
3700,950,949,2,352256,3615,,,,,,,,,,,,,,,,,,
3704,960,959,2,352256,3616,,,,,,,,,,,,,,,,,,
3708,973,972,2,352256,3616,,,,,,,,,,,,,,,,,,
3712,983,982,2,352256,7889,,,,,,,,,,,,,,,,,,
3716,996,995,2,352256,7889,,,,,,,,,,,,,,,,,,
3720,1009,1008,2,352256,7889,,,,,,,,,,,,,,,,,,
3723,634,3597,2,8,670,,,,,,,,,,,,,,,,,,
3725,635,3598,1,1,3597,,,,,,,,,,,,,,,,,,
3727,636,3599,2,8,670,,,,,,,,,,,,,,,,,,
3728,636,3599,2,8,670,,,,,,,,,,,,,,,,,,
3731,637,3600,2,8,711,,,,,,,,,,,,,,,,,,
3733,638,3601,1,1,3600,,,,,,,,,,,,,,,,,,
3735,639,3602,2,8,711,,,,,,,,,,,,,,,,,,
3736,639,3602,2,8,711,,,,,,,,,,,,,,,,,,
3739,641,3603,2,4096,770,,,,,,,,,,,,,,,,,,
3740,641,3603,2,4096,770,,,,,,,,,,,,,,,,,,
3741,641,3603,2,4096,770,,,,,,,,,,,,,,,,,,
3744,643,3604,2,64,790,,,,,,,,,,,,,,,,,,
3746,644,3605,1,4,3604,,,,,,,,,,,,,,,,,,
3747,644,3605,1,4,3604,,,,,,,,,,,,,,,,,,
3749,645,3606,2,64,790,,,,,,,,,,,,,,,,,,
3750,645,3606,2,64,790,,,,,,,,,,,,,,,,,,
3753,646,3607,2,8192,7223,7315,7407,7499,,,,,,,,,,,,,,,
3755,647,3608,1,1024,3607,,,,,,,,,,,,,,,,,,
3756,647,3608,1,1024,3607,,,,,,,,,,,,,,,,,,
3758,648,3609,2,8192,7223,7315,7407,7499,,,,,,,,,,,,,,,
